business_id,name,latitude,longitude,city,MSA_NAME,MSA_GEOID,HasTV,NoiseLevel,WiFi,GoodForKids,HappyHour,OutdoorSeating,RestaurantsPriceRange2,Smoking,GoodForDancing,ambience_casual,ambience_classy,ambience_divey,ambience_hipster,ambience_intimate,ambience_romantic,ambience_touristy,ambience_trendy,ambience_upscale,music_karaoke,music_live,bestnights_monday,bestnights_tuesday,bestnights_wednesday,bestnights_thursday,bestnights_friday,bestnights_saturday,bestnights_sunday
PfOCPjBrlQAnz__NXj9h_w,Brick House Tavern + Tap,41.1195346,-81.4756898,Cuyahoga Falls,"Akron, OH",10420,True,average,free,True,True,True,2,outdoor,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
8y56fOiKhtCnqaiYB2S2Qg,Brewster's Pub,41.136622,-81.4392592,Munroe Falls,"Akron, OH",10420,True,average,NULL,NULL,True,True,1,outdoor,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
tRVx2c89coruPRwYhGTcTw,Yuzu,41.4768463,-81.7869709,Lakewood,"Cleveland-Elyria, OH",17460,True,average,free,False,True,True,2,no,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
Pd52CjgyEU3Rb8co6QfTPw,Flight Deck Bar & Grill,36.0669136,-115.1708484,Las Vegas,"Las Vegas-Henderson-Paradise, NV",29820,True,average,free,True,True,False,2,no,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
B5EZlEDH6AVDk8tQGHAGqg,Villa Tap,43.1233893,-89.3553901,Madison,"Madison, WI",31540,True,average,NULL,False,True,False,1,no,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
NoxzrJbWS4xD9ft0ygD3JA,The Brink Lounge,43.0798171,-89.3762962,Madison,"Madison, WI",31540,True,average,NULL,NULL,True,True,2,no,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True
HcEJ2YiSLX_mT3RE0hvKWQ,Blush,40.444236,-79.998325,Pittsburgh,"Pittsburgh, PA",38300,True,very_loud,NULL,NULL,True,False,2,no,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
WUiDaFQRZ8wKYGLvmjFjAw,China Buffet,35.306173,-80.752672,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",16740,False,average,no,True,NULL,False,2,NULL,NULL,True,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
W1Yr6c2XDx_RBjb6WsV-aQ,Divine Cafe at the Springs Preserve,36.1707064994,-115.190288481,Las Vegas,"Las Vegas-Henderson-Paradise, NV",29820,True,average,free,True,True,True,2,no,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
M3uV9Y3EDSpy9d4YwyNSAQ,Yakiramen,33.5823628,-112.1498845,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",38060,True,NULL,no,True,True,True,2,NULL,False,True,False,False,True,False,False,False,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DVaTciFGcCXLHTufHZM4_A,Big Bang - Dueling Piano Bar,33.4252659831,-111.939773558,Tempe,"Phoenix-Mesa-Scottsdale, AZ",38060,False,very_loud,NULL,False,True,False,2,outdoor,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False
6PwKC0dqP9uI85FEP86iPQ,Red Viet Cuisine - Sushi,33.3210685814,-111.685171832,MESA,"Phoenix-Mesa-Scottsdale, AZ",38060,True,quiet,free,True,NULL,False,2,NULL,NULL,True,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d4GBb0eVWVdfL5aJx3UCRg,Casual Water,35.024312,-81.0278546,Tega Cay,"Charlotte-Concord-Gastonia, NC-SC",16740,True,quiet,free,True,NULL,True,2,NULL,NULL,True,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
xZlWuKKUgETwFgZ0dshHAA,OMD Official Music District,36.1425179,-115.1422063,Las Vegas,"Las Vegas-Henderson-Paradise, NV",29820,NULL,NULL,NULL,True,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
XIeu6wabop6VabOVFNVHIg,Michele's Cocktail Lounge,33.451372,-112.1498341,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",38060,True,loud,NULL,NULL,True,False,1,no,True,False,False,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL
WfB_SsYeKy83QQsqAAyGVQ,Cancun Bar & Grill,36.0986321,-115.1360793,Las Vegas,"Las Vegas-Henderson-Paradise, NV",29820,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FT08e7Kzgi0Eu0hI4FFYTA,The Corner Pub,41.4767671,-81.7750862,Lakewood,"Cleveland-Elyria, OH",17460,True,NULL,NULL,NULL,NULL,False,1,NULL,True,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
j37Z4LIXTH9j6KOq9aX8DQ,Beer Emporium,40.4599557,-79.930726,Pittsburgh,"Pittsburgh, PA",38300,True,average,free,False,True,False,2,no,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
KYEZATGRY5aD69ZR6VvyWQ,North Forty Saloon and BBQ,36.2718383376,-115.263279393,Las Vegas,"Las Vegas-Henderson-Paradise, NV",29820,True,loud,NULL,True,NULL,True,2,NULL,NULL,True,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
pBoWsom3mZFYo9EucIWRDg,Kabuki Sushi & Grill,33.6114217,-112.2395205,Peoria,"Phoenix-Mesa-Scottsdale, AZ",38060,True,average,no,True,NULL,False,2,NULL,NULL,True,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
tCJGEQVqjELLYv3fPNX5Rw,Fleming's Prime Steakhouse-Scottsdale,33.674238,-111.889288,Scottsdale,"Phoenix-Mesa-Scottsdale, AZ",38060,True,average,no,False,True,True,3,no,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
ECqc9Xd0dTdKmcNrbIizAw,Los Girasoles,41.1105329,-81.3480427,Kent,"Akron, OH",10420,True,average,free,True,True,True,2,NULL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5rinwJ0Xs-Ay5GmAnzjO8Q,Levelz,40.428971,-79.979454,Pittsburgh,"Pittsburgh, PA",38300,True,loud,NULL,NULL,True,NULL,1,no,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,False,False,False,False,True,True,True,False
JzNXaLxwWnC_zKOI0tkt2w,WineStyles,33.5515304,-112.2707018,Peoria,"Phoenix-Mesa-Scottsdale, AZ",38060,NULL,NULL,NULL,NULL,NULL,False,2,no,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
OWbm2cGjhX3CwmqzUJeLoQ,Strip Gun Club,36.1452144,-115.1560534,Las Vegas,"Las Vegas-Henderson-Paradise, NV",29820,NULL,NULL,NULL,False,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LPq-IOpA_VrZ2xRh1A6Ssw,The Saguaro Restaurant,33.4941213,-111.9227616,Scottsdale,"Phoenix-Mesa-Scottsdale, AZ",38060,True,quiet,free,False,True,True,2,outdoor,False,False,False,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0Yeb_P24sj6MwG2qmuehkA,Till's Bar,36.1299495427,-115.161028004,Las Vegas,"Las Vegas-Henderson-Paradise, NV",29820,True,average,free,NULL,True,True,1,outdoor,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0LKcSabd5Gd5oz-qrHTzZg,Cin-Cin Restaurant,33.5012604,-111.9233633,Scottsdale,"Phoenix-Mesa-Scottsdale, AZ",38060,NULL,NULL,NULL,False,False,True,2,outdoor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,False,False,False,False,False,True,True,True
tpG_KqvR1v2GrlLKNAChBw,Wings Sports Bar & Grill,41.4223755,-81.5801048,Cleveland,"Cleveland-Elyria, OH",17460,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NoSj3hV8Rlz_gUsOL4_EjQ,Jack's Pub,36.1444404,-115.1744386,Las Vegas,"Las Vegas-Henderson-Paradise, NV",29820,True,average,no,NULL,True,False,2,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
7aUnd76Myn3ocL425AWGeg,Venice Cafe,41.152875,-81.358754,Kent,"Akron, OH",10420,True,loud,NULL,False,True,False,1,NULL,True,True,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0v984vlPQfb4VZWvBJSsfg,Cosmos Cafe,35.2278319,-80.8392384,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",16740,True,loud,free,False,True,False,2,no,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
SIJm66InxhHRTcLPB6OwKA,PointBreezeway,40.4469573,-79.9046812,Pittsburgh,"Pittsburgh, PA",38300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
aNe8ofTYrealxqv7VtFTuw,Sierra Gold,36.0703249,-115.2249525,Las Vegas,"Las Vegas-Henderson-Paradise, NV",29820,True,average,free,False,True,False,2,yes,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
S8FDnhP4WKlRhJxSIkcxFg,Modern Round,33.6290590041,-112.238112817,Peoria,"Phoenix-Mesa-Scottsdale, AZ",38060,True,very_loud,free,False,True,False,2,no,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
frCxZS7lPhEnQRJ3UY6m7A,La Santisima,33.469201,-112.047393,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",38060,False,average,no,True,True,False,2,NULL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
om4t1hDJRQqTRS9VT7ADhA,Q Tavern,35.2189223729,-80.8361534402,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",16740,True,average,free,False,False,True,2,no,False,True,False,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL
m7pPqt6UY-S1Wy0iR2IqZA,Mist Bar and Lounge,36.1305020791,-115.168726541,Las Vegas,"Las Vegas-Henderson-Paradise, NV",29820,NULL,NULL,NULL,NULL,True,False,2,yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,False,True,False,False,False,True,False,True
