Day,Month,Year,Precip.,Snow
1,1,2007,0.12,0.39
2,1,2007,0.24,0.79
3,1,2007,0.31,1.18
4,1,2007,0.43,1.61
5,1,2007,0.55,2.09
6,1,2007,0.67,2.52
7,1,2007,0.79,2.91
8,1,2007,0.87,3.31
9,1,2007,0.98,3.82
10,1,2007,1.1,4.21
11,1,2007,1.22,4.69
12,1,2007,1.34,5.12
13,1,2007,1.42,5.51
14,1,2007,1.54,5.98
15,1,2007,1.65,6.42
16,1,2007,1.77,6.89
17,1,2007,1.89,7.28
18,1,2007,1.97,7.72
19,1,2007,2.09,8.11
20,1,2007,2.2,8.5
21,1,2007,2.28,9.02
22,1,2007,2.4,9.41
23,1,2007,2.52,9.69
24,1,2007,2.64,10.12
25,1,2007,2.72,10.51
26,1,2007,2.83,10.91
27,1,2007,2.95,11.3
28,1,2007,3.03,11.69
29,1,2007,3.15,12.09
30,1,2007,3.27,12.52
31,1,2007,3.35,12.91
1,2,2007,0.12,0.39
2,2,2007,0.24,0.79
3,2,2007,0.31,1.18
4,2,2007,0.43,1.61
5,2,2007,0.55,2.09
6,2,2007,0.67,2.52
7,2,2007,0.79,2.91
8,2,2007,0.87,3.31
9,2,2007,0.98,3.82
10,2,2007,1.1,4.21
11,2,2007,1.22,4.69
12,2,2007,1.34,5.12
13,2,2007,1.42,5.51
14,2,2007,1.54,5.98
15,2,2007,1.65,6.42
16,2,2007,1.77,6.89
17,2,2007,1.89,7.28
18,2,2007,1.97,7.72
19,2,2007,2.09,8.11
20,2,2007,2.2,8.5
21,2,2007,2.28,9.02
22,2,2007,2.4,9.41
23,2,2007,2.52,9.69
24,2,2007,2.64,10.12
25,2,2007,2.72,10.51
26,2,2007,2.83,10.91
27,2,2007,2.95,11.3
28,2,2007,3.03,11.69
29,2,2007,3.15,12.09
30,2,2007,3.27,12.52
31,2,2007,3.35,12.91
1,3,2007,0.12,0.39
2,3,2007,0.24,0.79
3,3,2007,0.31,1.18
4,3,2007,0.43,1.61
5,3,2007,0.55,2.09
6,3,2007,0.67,2.52
7,3,2007,0.79,2.91
8,3,2007,0.87,3.31
9,3,2007,0.98,3.82
10,3,2007,1.1,4.21
11,3,2007,1.22,4.69
12,3,2007,1.34,5.12
13,3,2007,1.42,5.51
14,3,2007,1.54,5.98
15,3,2007,1.65,6.42
16,3,2007,1.77,6.89
17,3,2007,1.89,7.28
18,3,2007,1.97,7.72
19,3,2007,2.09,8.11
20,3,2007,2.2,8.5
21,3,2007,2.28,9.02
22,3,2007,2.4,9.41
23,3,2007,2.52,9.69
24,3,2007,2.64,10.12
25,3,2007,2.72,10.51
26,3,2007,2.83,10.91
27,3,2007,2.95,11.3
28,3,2007,3.03,11.69
29,3,2007,3.15,12.09
30,3,2007,3.27,12.52
31,3,2007,3.35,12.91
1,4,2007,0.12,0.39
2,4,2007,0.24,0.79
3,4,2007,0.31,1.18
4,4,2007,0.43,1.61
5,4,2007,0.55,2.09
6,4,2007,0.67,2.52
7,4,2007,0.79,2.91
8,4,2007,0.87,3.31
