year,month,day,Tmax,Tav,Tmin
2014,12,1,64,52,39
2014,12,2,42,38,33
2014,12,3,51,44,37
2014,12,4,43,37,30
2014,12,5,42,34,26
2014,12,6,45,42,38
2014,12,7,38,30,21
2014,12,8,29,24,18
2014,12,9,49,39,29
2014,12,10,48,43,38
2014,12,11,39,36,32
2014,12,12,39,35,31
2014,12,13,42,37,32
2014,12,14,45,39,33
2014,12,15,42,37,32
2014,12,16,44,40,35
2014,12,17,49,45,41
2014,12,18,44,40,36
2014,12,19,37,33,29
2014,12,20,36,32,27
2014,12,21,36,33,30
2014,12,22,44,39,33
2014,12,23,47,45,42
2014,12,24,46,44,41
2014,12,25,59,52,44
2014,12,26,50,44,37
2014,12,27,52,45,38
2014,12,28,52,46,40
2014,12,29,41,36,30
2014,12,30,30,26,22
2014,12,31,30,25,20
2015,1,1,33,28,22
2015,1,2,41,36,31
2015,1,3,37,30,22
2015,1,4,52,44,35
2015,1,5,50,34,17
2015,1,6,18,17,15
2015,1,7,26,15,4
2015,1,8,19,9,-1
2015,1,9,30,25,19
2015,1,10,24,21,17
2015,1,11,33,24,15
2015,1,12,38,36,33
2015,1,13,35,25,15
2015,1,14,25,20,14
2015,1,15,31,28,25
2015,1,16,38,27,15
2015,1,17,22,16,9
2015,1,18,51,36,20
2015,1,19,46,39,32
2015,1,20,39,33,27
2015,1,21,34,28,22
2015,1,22,37,33,29
2015,1,23,37,31,24
2015,1,24,34,33,31
2015,1,25,38,29,19
2015,1,26,29,20,11
2015,1,27,19,17,14
2015,1,28,24,19,13
2015,1,29,32,21,10
2015,1,30,34,27,19
2015,1,31,21,16,11
2015,2,1,30,21,12
2015,2,2,31,21,10
2015,2,3,22,14,6
2015,2,4,38,26,14
2015,2,5,36,22,7
2015,2,6,21,13,5
2015,2,7,29,23,16
2015,2,8,29,21,13
2015,2,9,25,20,14
2015,2,10,30,22,14
2015,2,11,25,20,14
2015,2,12,30,23,16
2015,2,13,22,15,7
2015,2,14,30,17,3
2015,2,15,20,9,-2
2015,2,16,19,8,-3
2015,2,17,23,17,10
2015,2,18,29,23,17
2015,2,19,30,20,10
2015,2,20,20,13,5
2015,2,21,34,19,4
2015,2,22,39,36,32
